trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-120.28298840528319,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.995}",25,0,-104.09277082015788,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.99}",25,0,-144.0465045342371,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.985}",35,0,-54.7803799515181,"{0: 27, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.98}",20,8,-17.98800940325015,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.975}",25,0,-158.04067117599413,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.97}",25,0,-57.9285296931781,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.965}",30,0,-106.82126920425142,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.96}",25,9,-46.96919911987311,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.955}",20,0,-99.84643324243515,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.95}",25,0,-146.97353417833617,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.945}",25,8,-48.48950047362778,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.94}",30,0,-169.14351995525104,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-130.08588095453322,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-169.12200995542443,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-122.27912293424548,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,12,-62.94628640704629,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-178.25794775537864,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-77.51093875840026,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-105.90425728237344,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-75.29517789136086,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-81.4020994676763,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-127.15113103829643,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,11,-68.36833395225588,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-182.17008852912656,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,0,-161.24972652815632,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-55.43931949371339,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,14,-35.82732770106939,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
