trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 1}",25,0,-68.88047204967138,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 1, 'e': 0.9999680001706663}",30,0,-210.0856500774964,"{0: 15, 1: 4, 2: 5, 3: 4, 4: 2}",0
3,False,"{'a': 1, 'e': 0.9999280008639958}",30,0,-133.17640032299403,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 1, 'e': 0.9998720027306434}",30,0,-74.97396109557818,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
5,False,"{'a': 1, 'e': 0.9998000066665778}",30,0,-139.68685092842227,"{0: 19, 1: 3, 2: 3, 3: 4, 4: 1}",0
6,False,"{'a': 1, 'e': 0.9997120138237345}",20,0,-85.70526599748696,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 1, 'e': 0.9996080256099974}",35,0,-221.8106279263594,"{0: 21, 1: 2, 2: 8, 3: 0, 4: 4}",0
8,False,"{'a': 1, 'e': 0.9994880436891754}",30,0,-111.78040581288937,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 1, 'e': 0.9993520699809768}",30,12,-122.9186602281681,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 1, 'e': 0.9992001066609779}",20,0,-43.93855500844054,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 1, 'e': 0.9990321561605888}",25,0,-180.53202868774832,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 1, 'e': 0.9988482211670138}",25,0,-215.77708606919362,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
13,False,"{'a': 1, 'e': 0.9986483046232089}",25,0,-113.2402332831849,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 1, 'e': 0.9984324097278344}",20,0,-64.35077117960688,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 1, 'e': 0.9982005399352042}",30,2,-22.052879101481903,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 1, 'e': 0.99795269895523}",20,0,-128.66283440761185,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 1, 'e': 0.9976888907533621}",20,0,-72.06135217178016,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 1, 'e': 0.9974091195505261}",20,16,6.49364355427634,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 1, 'e': 0.9971133898230555}",20,6,-44.77599475747345,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
20,False,"{'a': 1, 'e': 0.9968017063026194}",25,0,-154.78763994352937,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 1, 'e': 0.9964740739761475}",20,0,-11.923970110771117,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 1, 'e': 0.9961304980857502}",20,0,-136.98873892006,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 1, 'e': 0.9957709841286342}",20,0,-40.230120764211435,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 1, 'e': 0.9953955378570153}",20,0,-115.29935040070934,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 1, 'e': 0.9950041652780258}",20,14,-40.149616142333876,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 1, 'e': 0.9945968726536185}",20,0,-24.738429851118717,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 1, 'e': 0.9941736665004669}",20,0,-134.49296735409524,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 1, 'e': 0.9937345535898603}",20,0,-156.48153320542335,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 1, 'e': 0.9932795409475959}",30,0,-286.34892751422615,"{0: 15, 1: 2, 2: 5, 3: 4, 4: 4}",0
30,False,"{'a': 1, 'e': 0.9928086358538663}",25,0,-183.51610123354516,"{0: 14, 1: 2, 2: 3, 3: 4, 4: 2}",0
31,False,"{'a': 1, 'e': 0.9923218458431429}",20,0,-61.222106280771854,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 1, 'e': 0.9918191787040556}",25,10,-11.71638716771098,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 1, 'e': 0.9913006424792677}",20,0,-131.5235725772875,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
34,False,"{'a': 1, 'e': 0.990766245465348}",25,0,-130.81030882248174,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 1, 'e': 0.9902159962126371}",20,1,-96.21422714975223,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 1}",1
36,False,"{'a': 1, 'e': 0.9896499035251115}",20,0,-61.20042657129448,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 1, 'e': 0.989067976460242}",20,0,-136.05563620509113,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
38,False,"{'a': 1, 'e': 0.9884702243288492}",20,4,-67.68449517065584,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
39,False,"{'a': 1, 'e': 0.9878566566949545}",20,4,-57.77906376448598,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
