trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,16,-17.26388083941595,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-99.97915953255344,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-147.68694418316707,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-187.19878175001648,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-126.56195546368056,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,1,-55.31877010264719,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-172.43717668368555,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-98.06425167986002,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-287.08053715361547,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-101.37479012784617,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-79.57891678377455,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-95.87630911585907,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,13,-21.762739588215467,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-109.30954283430067,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-156.42114604124365,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-127.68560453105088,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-87.1072377430859,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-167.66101570719582,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-70.11270128823976,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-43.60828298844317,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-178.53430789782055,"{0: 16, 1: 3, 2: 6, 3: 4, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-173.70070827303263,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-194.74935672515096,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-88.66670050903465,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-117.67063042281274,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-150.443928480587,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",30,0,-243.89490000035434,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",30,7,-123.5009639418782,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,10,-20.20572594353322,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-65.76200145706551,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
